cd,nm,corp_name,stock_code,industry,main_product,listed_date,settle_month,hpage,표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,증권구분,주식종류,액면가,상장주식수,yh_code,stock_code_ori
A095570,AJ네트웍스,AJ네트웍스,095570,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21,12월,http://www.ajnet.co.kr,KR7095570008,095570,AJ네트웍스보통주,AJ네트웍스,"AJ Networks Co.,Ltd.",2015-08-21,주권,보통주,1000,46822295,095570.KS,095570
A006840,AK홀딩스,AK홀딩스,006840,기타 금융업,지주사업,1999-08-11,12월,http://www.aekyunggroup.co.kr,KR7006840003,006840,AK홀딩스보통주,AK홀딩스,"AK Holdings, Inc.",1999-08-11,주권,보통주,5000,13247561,006840.KS,006840
A027410,BGF,BGF,027410,기타 금융업,지주회사,2014-05-19,12월,http://www.bgf.co.kr,KR7027410000,027410,BGF보통주,BGF,BGF,2014-05-19,주권,보통주,1000,95716791,027410.KS,027410
A282330,BGF리테일,BGF리테일,282330,종합 소매업,체인화 편의점,2017-12-08,12월,http://www.bgfretail.com,KR7282330000,282330,BGF리테일보통주,BGF리테일,BGF Retail,2017-12-08,주권,보통주,1000,17283906,282330.KS,282330
A138930,BNK금융지주,BNK금융지주,138930,기타 금융업,금융지주회사,2011-03-30,12월,http://www.bnkfg.com,KR7138930003,138930,BNK금융지주보통주,BNK금융지주,BNK Financial Group Inc.,2011-03-30,주권,보통주,5000,325935246,138930.KS,138930
A001460,BYC,BYC,001460,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,http://home.byc.co.kr,KR7001460005,001460,BYC보통주,BYC,BYC,1975-06-02,주권,보통주,5000,624615,001460.KS,001460
A001460,BYC,BYC,001465,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,http://home.byc.co.kr,KR7001461003,001465,BYC1우선주,BYC우,BYC(1P),1989-09-05,주권,구형우선주,5000,215385,001465.KS,001460
A001040,CJ,CJ,001040,기타 금융업,지주회사,1973-06-29,12월,http://www.cj.net,KR7001040005,001040,CJ보통주,CJ,CJ Corp.,1973-06-29,주권,보통주,5000,29176998,001040.KS,001040
A001040,CJ,CJ,001045,기타 금융업,지주회사,1973-06-29,12월,http://www.cj.net,KR7001041003,001045,CJ1우선주,CJ우,CJ(1P),1989-08-18,주권,구형우선주,5000,2260223,001045.KS,001040
A001040,CJ,CJ,00104K,기타 금융업,지주회사,1973-06-29,12월,http://www.cj.net,KR700104K010,00104K,CJ4우선주(전환),CJ4우(전환),CJ(4PC),2019-08-09,주권,신형우선주,5000,4226512,00104K.KS,001040
A011150,CJ씨푸드,CJ씨푸드,011150,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,12월,http://www.cjseafood.net,KR7011150000,011150,CJ씨푸드보통주,CJ씨푸드,CJSEAFOODCORPORATION,1988-11-26,주권,보통주,500,35930773,011150.KS,011150
A011150,CJ씨푸드,CJ씨푸드,011155,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,12월,http://www.cjseafood.net,KR7011151008,011155,CJ씨푸드1우선주,CJ씨푸드1우,CJSEAFOODCORPORATION(1P),1990-01-13,주권,구형우선주,500,200000,011155.KS,011150
A058820,CMG제약,CMG제약,058820,의약품 제조업,의약품,2001-08-31,12월,http://www.cmgpharma.co.kr,KR7058820002,058820,CMG제약,CMG제약,"CMG Pharmaceutical Co., Ltd.",2001-08-31,주권,보통주,500,138892244,058820.KQ,058820
A000590,CS홀딩스,CS홀딩스,000590,기타 금융업,"브랜드 수익, 자회사 배당",1975-12-22,12월,http://www.chosunwelding.com,KR7000590000,000590,CS홀딩스보통주,CS홀딩스,CSHOLDINGS,1975-12-22,주권,보통주,5000,1154482,000590.KS,000590
A016610,DB금융투자,DB금융투자,016610,금융 지원 서비스업,"유가증권,위탁매매,인수,자기매매",1988-06-27,12월,http://db-fi.com,KR7016610008,016610,DB금융투자보통주,DB금융투자,"DB Financial Investment Co., LTD.",1988-06-27,주권,보통주,5000,42446389,016610.KS,016610
A005830,DB손해보험,DB손해보험,005830,보험업,"자동차보험,화재보험,해상보험,특종보험,장기보험",1973-06-28,12월,http://www.idbins.com,KR7005830005,005830,DB손해보험보통주,DB손해보험,DB INSURANCE,1973-06-28,주권,보통주,500,70800000,005830.KS,005830
A000990,DB하이텍,DB하이텍,000990,반도체 제조업,반도체 제조,1975-12-12,12월,http://www.dbhitek.co.kr,KR7000990002,000990,DB하이텍보통주,DB하이텍,"DB HiTek Co.,LTD",1975-12-12,주권,보통주,5000,44398588,000990.KS,000990
A000990,DB하이텍,DB하이텍,000995,반도체 제조업,반도체 제조,1975-12-12,12월,http://www.dbhitek.co.kr,KR7000991000,000995,DB하이텍1우선주,DB하이텍1우,"DB HiTek Co.,LTD(1P)",2007-05-21,주권,구형우선주,5000,112316,000995.KS,000990
A139130,DGB금융지주,DGB금융지주,139130,기타 금융업,지주회사,2011-06-07,12월,http://www.dgbfg.co.kr,KR7139130009,139130,DGB금융지주보통주,DGB금융지주,DGB Financial Group,2011-06-07,주권,보통주,5000,169145833,139130.KS,139130
A000210,DL,DL,000210,기타 금융업,지주회사,1976-02-02,12월,http://www.dlholdings.co.kr,KR7000210005,000210,DL보통주,DL,DL,1976-02-02,주권,보통주,5000,20955884,000210.KS,000210
A000210,DL,DL,000215,기타 금융업,지주회사,1976-02-02,12월,http://www.dlholdings.co.kr,KR7000211003,000215,DL1우선주,DL우,DL(1P),1989-08-21,주권,구형우선주,5000,1686115,000215.KS,000210
A001880,DL건설,DL건설,001880,건물 건설업,"도로건설공사,토목공사,건축공사,조경공사/부동산 임대,매매",1977-12-22,12월,http://www.dlconstruction.co.kr,KR7001880004,001880,DL건설보통주,DL건설,DLConstruction,1977-12-22,주권,보통주,5000,22053284,001880.KS,001880
A375500,DL이앤씨,DL이앤씨,375500,토목 건설업,토목 건설 사업,2021-01-25,12월,,KR7375500006,375500,DL이앤씨보통주,DL이앤씨,"DL E&C CO., LTD.",2021-01-25,주권,보통주,5000,19358738,375500.KS,375500
A375500,DL이앤씨,DL이앤씨,37550K,토목 건설업,토목 건설 사업,2021-01-25,12월,,KR737550K011,37550K,DL이앤씨1우선주,DL이앤씨우,"DL E&C CO., LTD.(1P)",2021-01-25,주권,종류주권,5000,2113885,37550K.KS,375500
A155660,DSR,DSR,155660,1차 비철금속 제조업,합섬섬유로프,2013-05-15,12월,http://www.dsr.com,KR7155660004,155660,DSR보통주,DSR,DSR CORP,2013-05-15,주권,보통주,500,16000000,155660.KS,155660
A069730,DSR제강,DSR제강,069730,1차 철강 제조업,"와이어로프,각종 경강선,철선제품,PC강선,아연도 강연선 제조",2003-01-28,12월,http://www.dsrcorp.com,KR7069730000,069730,DSR제강보통주,DSR제강,DSRWIRECORP,2003-01-28,주권,보통주,500,14400000,069730.KS,069730
A017940,E1,E1,017940,기타 전문 도매업,"LPG(프로판,부탄가스),가스기기판매",1997-08-27,12월,http://www.e1.co.kr,KR7017940008,017940,E1보통주,E1,E1Corporation,1997-08-27,주권,보통주,5000,6860000,017940.KS,017940
A050120,ES큐브,ES큐브,050120,생활용품 도매업,"텐트, 원 ·부자재",2002-04-25,12월,http://www.escube.co.kr,KR7050120005,050120,ES큐브,ES큐브,ES CUBE,2002-04-25,주권,보통주,5000,13564086,050120.KQ,050120
A383220,F&F,F&F,383220,봉제의복 제조업,"MLB, MLB KIDS, DISCOVERY 등 패션의류제품",2021-05-21,12월,http://www.fnf.co.kr,KR7383220001,383220,F&F보통주,F&F,F&F,2021-05-21,주권,보통주,500,7661415,383220.KS,383220
A078930,GS,GS,078930,기타 금융업,지주회사/부동산 임대,2004-08-05,12월,,KR7078930005,078930,GS보통주,GS,GS Holdings,2004-08-05,주권,보통주,5000,92915378,078930.KS,078930
A078930,GS,GS,078935,기타 금융업,지주회사/부동산 임대,2004-08-05,12월,,KR7078931003,078935,GS1우선주,GS우,GS Holdings(1P),2004-08-05,주권,구형우선주,5000,1784826,078935.KS,078930
A006360,GS건설,GS건설,006360,건물 건설업,"토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리 용역,수출입/에너지관리 진단,연구개발",1981-08-03,12월,http://www.gsconst.co.kr/,KR7006360002,006360,GS건설보통주,GS건설,GS Engineering & Construction Corp,1981-08-03,주권,보통주,5000,85581490,006360.KS,006360
A012630,HDC,HDC,012630,기타 금융업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",1996-10-16,12월,http://www.i-park.com,KR7012630000,012630,HDC보통주,HDC,"HDC HOLDINGS CO.,Ltd",1996-10-16,주권,보통주,5000,59741721,012630.KS,012630
A294870,HDC현대산업개발,HDC현대산업개발,294870,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",2018-06-12,12월,http://www.hdc-dvp.com,KR7294870001,294870,HDC현대산업개발보통주,HDC현대산업개발,HYUNDAI DEVELOPMENT COMPANY,2018-06-12,주권,보통주,5000,65907330,294870.KS,294870
A097230,HJ중공업,HJ중공업,097230,토목 건설업,"선박건조,기계플랜트 제조/토목공사,건축공사,조경공사,전기공사,가스공사,준설공사,기계설비공사",2007-08-31,12월,http://www.hjsc.co.kr,KR7097230007,097230,HJ중공업보통주,HJ중공업,HJ SHIPBUILDING & CONSTRUCTION,2007-08-31,주권,보통주,5000,83274281,097230.KS,097230
A175330,JB금융지주,JB금융지주,175330,기타 금융업,금융지주 회사,2013-07-18,12월,http://www.jbfg.com,KR7175330000,175330,JB금융지주보통주,JB금융지주,"JB Financial Group Co., Ltd.",2013-07-18,주권,보통주,5000,196982894,175330.KS,175330
A234080,JW생명과학,JW생명과학,234080,의약품 제조업,"기초수액, TPN, 특수수액, HEMO, 영양수액 등",2016-10-27,12월,http://www.jw-lifescience.co.kr,KR7234080000,234080,JW생명과학보통주,JW생명과학,JW LIFESCIENCE,2016-10-27,주권,보통주,2500,15834554,234080.KS,234080
A001060,JW중외제약,JW중외제약,001060,의약품 제조업,"수액제,소화기궤양치료제,항생제,항암제 제조,도매",1976-06-14,12월,http://www.jw-pharma.co.kr,KR7001060003,001060,JW중외제약보통주,JW중외제약,JWPHARMACEUTICAL,1976-06-14,주권,보통주,2500,22178081,001060.KS,001060
A001060,JW중외제약,JW중외제약,001065,의약품 제조업,"수액제,소화기궤양치료제,항생제,항암제 제조,도매",1976-06-14,12월,http://www.jw-pharma.co.kr,KR7001061001,001065,JW중외제약1우선주,JW중외제약우,JWPHARMACEUTICAL(1P),1994-10-21,주권,구형우선주,2500,182735,001065.KS,001060
